applied subject,year until now,GPA,current subject,is honor college,GMAT,GRE,english test exempted,TOFEL,IELTS,internship,result
Materials Sciences,2,3.28,Materials Sciences,1,0,330.82,0,0,7.01,1,0
Engineering - Mineral and Mining,4,3.05,Statistics and Operational Research,0,553.82,0,0,0,6.18,1,0
Art and Design,0,3.84,Art and Design,1,790.08,0,0,87.05,0,0,1
Chemistry,6,3.1,Chemistry,1,0,312.21,1,0,0,1,1
Veterinary Science,6,3.3,Veterinary Science,1,0,330.65,0,0,8.38,1,0
Sociology,10,3.82,Sociology,1,756.37,0,0,0,6.5,0,1
English Language and Literature,10,3.74,English Language and Literature,1,754.48,0,0,91.31,0,1,1
Philosophy,7,3.18,Communication and Media Studies,0,592.39,271.36,0,96.41,0,0,0
Sports-Related Subjects,7,3.03,Sports-Related Subjects,1,720.69,308.94,1,0,0,1,1
Natural Sciences,9,3.33,Natural Sciences,0,0,313.43,0,108.81,6.69,1,1
Engineering - Civil and Structural,0,3.73,Engineering - Civil and Structural,0,710.51,0,0,98.36,6.12,1,1
Engineering - Mineral and Mining,10,3.31,Philosophy,1,0,322.25,0,119.56,0,1,1
Hospitality and Leisure Management,4,2.76,Economics and Econometrics,0,0,190.44,1,0,0,0,0
Economics and Econometrics,0,3.09,Economics and Econometrics,1,746.27,0,1,0,0,0,0
Classics and Ancient History,2,2.23,English Language and Literature,0,621.87,181.11,0,83.34,0,0,0
Chemistry,9,3.68,Chemistry,1,726.88,0,1,0,0,1,1
Modern Languages,1,3.95,Hospitality and Leisure Management,1,704.08,0,0,113.17,7.66,1,1
Arts and Humanities,0,3.89,Arts and Humanities,1,0,330.56,1,0,0,1,1
Performing Arts,5,3.5,Performing Arts,0,737.03,0,1,0,0,1,0
Dentistry,10,2.85,Pharmacy and Pharmacology,0,367.01,199.42,1,0,0,1,1
Classics and Ancient History,5,2.23,Arts and Humanities,0,449.41,0,1,0,0,1,0
Agriculture and Forestry,1,3.45,Agriculture and Forestry,0,0,312.16,1,0,0,1,1
Nursing,1,3.67,Economics and Econometrics,1,766.75,310.57,1,0,0,1,1
Data Science,10,3.16,Agriculture and Forestry,0,755.67,0,1,0,0,1,1
Materials Sciences,2,3.36,Materials Sciences,1,718.67,0,1,0,0,1,1
Chemistry,3,3.7,History,1,0,318.34,1,0,0,1,0
Modern Languages,6,3.74,Art and Design,0,798.24,337.62,1,0,0,0,1
Economics and Econometrics,2,3.64,Economics and Econometrics,0,750.02,314.47,0,105.51,7.81,0,1
Engineering - Mineral and Mining,9,3.15,Engineering - Mineral and Mining,0,732.57,336.34,0,0,7.08,1,1
History,6,2.68,Art History,0,382.66,0,1,0,0,0,0
English Language and Literature,5,3.14,Psychology,1,0,327.06,0,91.32,0,1,1
Natural Sciences,9,3.6,Natural Sciences,1,702.63,321.19,1,0,0,0,1
Environmental Sciences,6,3.25,Environmental Sciences,0,0,338.84,0,0,6.87,1,1
Engineering - Civil and Structural,3,3.45,Politics,1,0,335.42,1,0,0,1,1
Biological Sciences,1,2.69,Hospitality and Leisure Management,1,455.56,0,1,0,0,0,0
Library and Information Management,10,3.07,Library and Information Management,1,0,314.62,0,116.65,0,1,0
Sports-Related Subjects,6,2.68,Biological Sciences,0,0,239.24,1,0,0,0,0
Mathematics,1,3.59,Mathematics,1,0,306.31,1,0,0,1,1
Social Policy and Administration,9,3.26,Social Policy and Administration,1,788.1,0,1,0,0,0,1
Modern Languages,5,3.13,Economics and Econometrics,0,416.93,0,0,0,6.31,0,1
Engineering - Petroleum,4,3.4,Engineering - Petroleum,1,0,313.72,1,0,0,1,0
Performing Arts,9,3.64,Performing Arts,1,0,333.8,0,112.29,0,1,1
Archaeology,5,3.72,Materials Sciences,1,0,334.5,1,0,0,1,1
Computer Science and Information Systems,5,3.65,Computer Science and Information Systems,1,724.27,309.26,0,85.56,6.62,1,1
Engineering - Mineral and Mining,4,3.38,Engineering - Chemical,1,749.74,0,0,0,8.54,1,1
Statistics and Operational Research,6,3.33,Statistics and Operational Research,0,723.93,330.48,0,107.36,0,0,1
Dentistry,3,3.32,Dentistry,1,0,325.06,0,115.25,0,1,1
Veterinary Science,8,3.62,Veterinary Science,1,707.66,0,1,0,0,1,0
Linguistics,0,3.29,Linguistics,1,730.71,308.98,0,0,8.75,1,1
Education and Training,9,3.86,Education and Training,1,737.58,0,0,0,8.55,1,1
Physics and Astronomy,5,3.37,Physics and Astronomy,1,0,332.95,0,0,8.86,0,1
Physics and Astronomy,2,3.76,Physics and Astronomy,1,0,308.72,1,0,0,1,1
Data Science,8,3.05,Data Science,1,723.88,328.6,0,110.72,6.83,1,0
Veterinary Science,4,3.16,Veterinary Science,1,0,314.42,1,0,0,0,1
Communication and Media Studies,9,3.77,Communication and Media Studies,1,0,338.2,0,82.68,0,1,1
Classics and Ancient History,3,3.61,Classics and Ancient History,1,737.0,0,0,0,8.15,1,0
History,8,3.95,History,1,0,323.58,0,88.63,0,1,0
Modern Languages,2,2.85,Archaeology,0,0,237.58,1,0,0,1,0
Engineering - Mechanical,5,3.09,Engineering - Mechanical,1,766.71,330.76,1,0,0,1,1
"Theology, Divinity and Religious Studies",3,3.83,"Theology, Divinity and Religious Studies",1,747.42,0,0,0,8.41,0,0
Life Sciences and Medicine,10,3.63,Life Sciences and Medicine,1,0,334.02,0,94.7,0,1,0
Art History,2,2.39,Linguistics,0,0,265.84,1,0,0,0,1
"Theology, Divinity and Religious Studies",1,3.89,"Theology, Divinity and Religious Studies",0,781.93,0,0,118.78,0,1,1
Natural Sciences,8,3.44,Computer Science and Information Systems,0,0,331.1,0,0,6.47,1,1
Education and Training,1,3.36,Education and Training,0,0,306.71,1,0,0,1,1
Archaeology,7,3.61,Archaeology,1,0,328.81,0,96.35,0,1,1
Politics,8,3.24,Biological Sciences,0,0,320.96,1,0,0,0,1
Data Science,2,3.0,Data Science,0,0,325.34,0,80.96,0,1,1
Library and Information Management,4,2.34,Engineering and Technology,0,0,187.35,0,0,8.98,0,0
Materials Sciences,5,3.56,Materials Sciences,1,746.5,0,1,0,0,0,1
Engineering - Chemical,8,3.29,Engineering - Chemical,1,0,320.68,0,0,6.23,1,1
History,8,3.88,History,1,755.6,0,1,0,0,1,1
Earth and Marine Sciences,7,2.49,Hospitality and Leisure Management,1,0,196.52,1,0,0,0,1
Biological Sciences,10,3.95,Biological Sciences,1,709.94,313.12,0,0,6.84,1,1
English Language and Literature,0,2.13,Communication and Media Studies,1,0,182.38,0,96.89,0,0,0
Geology,2,3.4,Geology,1,798.25,0,0,100.41,0,1,1
Biological Sciences,5,3.38,Biological Sciences,1,745.42,339.92,1,0,0,1,0
Statistics and Operational Research,3,3.25,Pharmacy and Pharmacology,0,0,232.4,0,100.1,8.73,0,0
Natural Sciences,7,2.65,"Theology, Divinity and Religious Studies",1,0,215.32,0,0,7.39,1,0
Engineering and Technology,2,3.44,Psychology,0,734.27,0,0,0,8.0,1,1
Arts and Humanities,4,3.96,Arts and Humanities,1,701.65,0,1,0,0,1,0
Sports-Related Subjects,6,3.0,Sports-Related Subjects,0,757.85,0,0,0,7.97,1,1
Archaeology,7,3.09,Archaeology,1,0,334.84,0,104.03,0,1,1
Accounting and Finance,6,2.8,Natural Sciences,0,598.81,0,0,0,7.1,0,0
English Language and Literature,9,2.86,Art and Design,0,0,261.24,1,0,0,0,0
Engineering - Mineral and Mining,3,3.4,Engineering - Mineral and Mining,1,0,321.59,1,0,0,0,1
Anthropology,5,2.12,Art History,0,316.46,0,0,0,6.09,0,0
Biological Sciences,1,3.89,Biological Sciences,1,798.13,0,1,0,0,1,1
Library and Information Management,9,3.29,Library and Information Management,1,762.85,0,1,0,0,0,1
Chemistry,0,2.86,Engineering - Chemical,0,0,231.04,1,0,0,0,1
Environmental Sciences,8,3.16,Chemistry,0,0,248.34,1,0,0,0,0
Classics and Ancient History,8,2.89,Engineering and Technology,0,0,187.94,0,83.92,0,0,0
Engineering - Mechanical,0,2.42,Linguistics,0,0,195.52,1,0,0,0,1
Sociology,5,3.15,Economics and Econometrics,1,772.49,301.13,0,0,8.85,0,1
Materials Sciences,4,2.55,Geophysics,1,409.7,0,0,98.88,0,0,0
Mathematics,5,3.35,Mathematics,1,0,325.63,1,0,0,1,1
Pharmacy and Pharmacology,5,2.67,Art History,0,0,193.0,0,94.42,0,0,0
Chemistry,6,3.16,Chemistry,1,0,321.5,1,0,0,1,1
Engineering - Petroleum,0,3.86,Engineering and Technology,1,0,300.71,1,0,0,1,1
Hospitality and Leisure Management,2,2.54,Pharmacy and Pharmacology,0,355.26,0,0,116.3,0,0,0
Library and Information Management,10,3.06,Library and Information Management,1,0,303.07,0,94.12,0,1,1
Physics and Astronomy,8,2.0,Psychology,1,353.07,0,1,0,0,0,0
Law and Legal Studies,2,3.45,Law and Legal Studies,0,727.8,0,0,105.11,0,1,1
Law and Legal Studies,1,3.46,Law and Legal Studies,1,0,328.12,0,0,7.83,0,0
Geology,7,3.08,Geology,1,724.75,0,1,0,0,1,1
Classics and Ancient History,10,3.79,Classics and Ancient History,1,774.79,300.27,1,0,0,1,1
Engineering - Mechanical,5,2.15,Physics and Astronomy,0,369.93,216.81,1,0,0,0,0
Philosophy,9,3.71,Engineering - Chemical,1,0,337.58,1,0,0,1,1
Philosophy,6,3.13,Philosophy,1,788.09,0,1,0,0,1,0
Agriculture and Forestry,1,3.61,Agriculture and Forestry,0,719.11,0,0,0,6.52,1,1
Agriculture and Forestry,4,3.75,Agriculture and Forestry,1,0,324.26,0,0,8.18,1,0
"Theology, Divinity and Religious Studies",7,2.16,Modern Languages,0,0,188.07,0,0,8.35,1,0
Geography,8,3.79,Geography,1,0,310.56,0,95.26,0,1,1
Engineering - Chemical,3,3.03,Engineering - Civil and Structural,0,535.4,245.11,0,0,8.7,1,0
Engineering - Civil and Structural,8,3.96,Engineering - Civil and Structural,1,738.28,0,1,0,0,0,1
Natural Sciences,8,2.34,Veterinary Science,0,534.01,0,0,117.45,0,0,0
Classics and Ancient History,9,2.47,Anatomy and Physiology,0,353.12,0,1,0,0,0,1
Geophysics,0,3.15,Geophysics,1,787.16,0,1,0,0,0,1
Psychology,9,3.78,Psychology,1,0,307.91,0,113.63,0,1,0
Engineering - Petroleum,8,3.58,Engineering - Petroleum,1,754.08,0,1,0,0,1,1
Social Policy and Administration,1,2.43,Philosophy,1,0,211.09,1,0,0,1,0
Pharmacy and Pharmacology,2,3.95,Pharmacy and Pharmacology,1,0,333.01,1,0,0,0,1
Engineering - Petroleum,2,3.2,Engineering - Petroleum,0,745.33,0,0,0,6.96,0,0
Arts and Humanities,3,3.76,Arts and Humanities,1,708.95,0,1,0,0,1,0
Biological Sciences,9,3.59,Biological Sciences,1,796.28,328.29,0,0,8.75,1,1
Engineering and Technology,9,3.75,Art History,1,0,310.02,1,0,0,0,1
Engineering - Mineral and Mining,3,3.4,Engineering - Mineral and Mining,1,770.79,0,0,83.31,0,1,1
Psychology,0,3.07,Psychology,0,762.24,0,0,114.13,0,0,1
Social Sciences and Management,0,2.34,Communication and Media Studies,0,536.25,0,0,108.07,0,0,1
Architecture and Built Environment,5,3.94,Architecture and Built Environment,1,0,326.16,0,0,8.25,1,0
English Language and Literature,8,3.07,English Language and Literature,1,718.9,335.41,0,95.77,0,1,1
Art History,5,3.45,Art History,1,0,309.35,0,0,6.72,1,1
Engineering - Petroleum,8,3.24,Engineering - Petroleum,1,763.9,308.26,0,119.06,0,1,1
Anthropology,3,3.78,History,1,792.47,0,1,0,0,0,0
Anthropology,10,3.54,Anthropology,1,0,334.87,0,104.38,0,1,1
Accounting and Finance,6,3.62,Accounting and Finance,1,757.77,0,0,0,7.58,1,1
Engineering - Electrical and Electronic,3,3.57,Engineering - Electrical and Electronic,1,0,335.02,1,0,0,1,1
Biological Sciences,5,3.97,Biological Sciences,1,0,319.2,0,0,8.4,1,1
Communication and Media Studies,5,3.97,Communication and Media Studies,1,773.25,0,0,0,7.37,1,1
Social Sciences and Management,4,2.13,Dentistry,0,0,270.68,1,0,0,0,1
Statistics and Operational Research,3,3.35,Psychology,0,0,318.13,0,0,7.9,0,0
Psychology,5,3.68,Art History,0,0,331.01,0,86.31,0,1,1
Marketing,9,3.03,Marketing,1,725.36,0,1,0,0,1,1
History,3,3.41,History,1,0,335.98,1,0,0,1,1
Architecture and Built Environment,5,3.39,Engineering - Civil and Structural,1,759.42,339.74,1,0,0,1,1
Business and Management Studies,4,2.35,Engineering and Technology,1,0,187.0,1,0,0,0,0
Materials Sciences,7,3.24,Materials Sciences,1,785.47,0,1,0,0,1,1
Art and Design,1,3.26,Earth and Marine Sciences,0,0,236.25,1,0,0,1,0
Mathematics,5,3.21,Mathematics,1,726.15,0,1,0,0,1,0
Data Science,10,3.09,Medicine,1,767.74,0,1,0,0,1,1
Veterinary Science,9,3.73,Accounting and Finance,1,797.56,0,0,0,8.87,1,1
Art History,1,3.01,Hospitality and Leisure Management,0,402.81,0,1,0,0,1,0
Sports-Related Subjects,4,3.51,Philosophy,1,757.3,0,1,0,0,1,0
Business and Management Studies,2,2.0,Social Policy and Administration,0,647.7,0,1,0,0,0,1
Biological Sciences,2,3.83,Biological Sciences,1,742.32,335.97,1,0,0,1,1
Philosophy,8,3.15,Philosophy,1,774.21,0,0,0,7.15,1,1
Agriculture and Forestry,8,3.51,Data Science,1,719.05,0,0,117.32,0,1,1
Politics,6,2.49,Hospitality and Leisure Management,0,0,240.97,0,0,8.47,0,0
Engineering - Petroleum,6,3.1,Engineering - Petroleum,0,717.41,0,0,86.4,0,1,1
Art History,10,2.27,Accounting and Finance,0,387.31,0,0,97.18,0,0,1
Geology,5,3.73,History,1,0,316.71,0,112.14,0,1,1
Nursing,10,3.93,Nursing,1,0,330.68,0,0,6.8,1,1
Classics and Ancient History,3,3.33,Classics and Ancient History,1,0,330.48,0,99.73,0,1,1
Anatomy and Physiology,8,3.08,Marketing,0,0,266.13,1,0,0,0,0
"Theology, Divinity and Religious Studies",4,3.37,"Theology, Divinity and Religious Studies",1,0,311.77,1,0,0,1,1
Social Policy and Administration,4,2.76,Law and Legal Studies,1,0,257.0,1,0,0,1,1
Earth and Marine Sciences,1,2.16,Sociology,0,0,213.1,1,0,0,1,1
Education and Training,4,3.71,Education and Training,1,0,304.49,0,116.52,0,0,0
Data Science,8,3.11,Data Science,1,709.93,315.36,0,0,8.38,1,1
Statistics and Operational Research,1,3.95,Statistics and Operational Research,0,0,336.25,0,0,7.51,1,0
Modern Languages,4,3.73,Social Policy and Administration,1,748.47,308.23,0,0,7.54,1,1
Arts and Humanities,2,3.58,Arts and Humanities,0,702.36,325.89,0,86.41,0,0,1
Data Science,10,3.94,Data Science,1,0,338.48,1,0,0,1,1
Agriculture and Forestry,7,3.7,Data Science,1,780.45,0,1,0,0,1,1
Business and Management Studies,5,3.7,Business and Management Studies,1,741.36,0,1,0,0,1,0
Engineering - Civil and Structural,4,3.19,Engineering - Civil and Structural,1,0,323.72,1,0,0,1,1
Business and Management Studies,8,3.88,Business and Management Studies,1,779.9,0,0,114.93,7.52,1,1
Environmental Sciences,3,3.32,Development Studies,0,0,337.74,0,0,8.58,1,0
Economics and Econometrics,1,3.11,Engineering - Civil and Structural,1,738.32,0,0,111.31,8.81,1,0
History,8,3.07,History,1,0,332.13,0,83.85,0,1,0
Engineering - Petroleum,1,3.28,Geography,0,608.11,227.25,1,0,0,0,0
Social Policy and Administration,3,3.54,Social Policy and Administration,1,0,312.93,1,0,0,0,1
Development Studies,8,3.24,Materials Sciences,1,771.44,0,1,0,0,1,0
Engineering - Chemical,8,3.17,Engineering - Chemical,1,0,330.62,1,0,0,1,1
Art and Design,7,3.45,Art and Design,1,0,322.87,0,109.27,7.47,0,1
Physics and Astronomy,10,3.72,Physics and Astronomy,1,777.44,0,0,112.27,0,1,0
Natural Sciences,7,3.05,Natural Sciences,1,777.17,0,0,108.27,0,1,1
Environmental Sciences,4,3.08,Environmental Sciences,1,757.22,321.95,0,0,7.21,1,1
Engineering - Civil and Structural,5,3.02,Engineering - Civil and Structural,1,758.8,0,0,0,6.74,1,1
Medicine,2,3.29,Medicine,1,0,302.45,0,0,7.35,1,1
Anthropology,4,3.09,Anthropology,1,0,301.76,0,0,6.23,1,1
Linguistics,10,3.37,Linguistics,1,0,327.75,1,0,0,1,1
Anthropology,10,2.09,Engineering - Chemical,0,563.31,0,0,0,7.67,0,0
Marketing,1,3.77,Marketing,0,770.75,318.32,0,0,6.91,1,0
Anatomy and Physiology,7,3.66,Sports-Related Subjects,1,748.56,0,0,110.77,7.4,1,1
Architecture and Built Environment,1,3.49,Architecture and Built Environment,1,0,304.42,0,118.43,6.91,1,1
Veterinary Science,7,3.82,Veterinary Science,0,776.67,0,1,0,0,1,1
Business and Management Studies,5,3.66,Business and Management Studies,1,786.91,0,0,0,7.37,1,0
Mathematics,3,3.2,Environmental Sciences,1,0,312.94,1,0,0,1,1
Veterinary Science,1,3.58,Arts and Humanities,0,0,325.58,1,0,0,1,1
Business and Management Studies,3,3.22,English Language and Literature,1,0,335.24,1,0,0,1,1
Earth and Marine Sciences,7,3.95,Earth and Marine Sciences,1,752.65,0,0,0,6.81,1,1
Communication and Media Studies,2,2.64,Anthropology,0,472.7,0,0,0,6.47,0,0
Natural Sciences,2,3.41,Natural Sciences,1,0,312.06,0,0,8.89,1,1
Linguistics,8,3.04,Linguistics,1,740.82,325.68,0,0,7.65,1,1
Data Science,9,3.38,Data Science,0,0,337.46,0,111.68,8.95,1,1
Data Science,1,2.21,Communication and Media Studies,0,363.1,0,1,0,0,0,0
English Language and Literature,10,3.92,English Language and Literature,1,0,311.34,0,82.53,0,1,1
Library and Information Management,7,3.51,Library and Information Management,1,747.06,0,1,0,0,1,1
Engineering - Mineral and Mining,7,2.53,Art History,0,610.35,0,1,0,0,0,0
Business and Management Studies,9,3.05,Computer Science and Information Systems,0,739.2,0,1,0,0,1,1
Physics and Astronomy,8,3.95,Natural Sciences,1,762.88,0,1,0,0,0,1
Accounting and Finance,4,3.16,Accounting and Finance,1,703.64,335.68,1,0,0,0,1
Art History,0,3.22,Communication and Media Studies,0,772.42,0,1,0,0,0,1
Social Policy and Administration,2,3.05,Pharmacy and Pharmacology,0,546.78,267.98,1,0,0,0,0
Life Sciences and Medicine,8,2.87,History,0,304.56,0,0,93.09,0,1,1
Engineering and Technology,9,3.02,Geography,0,372.58,0,1,0,0,0,0
Arts and Humanities,3,3.41,Arts and Humanities,0,0,328.79,1,0,0,1,1
Business and Management Studies,2,3.97,Business and Management Studies,0,0,303.75,1,0,0,0,0
Anthropology,5,3.62,Education and Training,1,0,307.53,0,0,6.58,1,1
Nursing,10,3.54,Materials Sciences,0,793.03,336.67,1,0,0,0,1
Law and Legal Studies,6,3.3,Law and Legal Studies,1,0,308.01,0,86.06,0,1,1
Education and Training,1,2.61,Engineering - Mineral and Mining,0,0,269.01,1,0,0,1,0
Hospitality and Leisure Management,10,3.28,Hospitality and Leisure Management,0,0,333.57,1,0,0,1,0
Anthropology,9,3.01,Sports-Related Subjects,1,786.78,310.76,1,0,0,1,1
Anatomy and Physiology,10,3.74,Anatomy and Physiology,1,0,326.93,0,0,6.5,1,1
Anatomy and Physiology,8,3.45,Archaeology,1,0,333.83,0,0,6.89,1,1
Art History,0,3.24,Art History,0,0,337.51,1,0,0,0,1
Earth and Marine Sciences,6,2.54,Sports-Related Subjects,0,0,226.87,1,0,0,0,0
English Language and Literature,7,3.14,Archaeology,1,765.64,0,0,0,6.44,0,1
Earth and Marine Sciences,9,3.57,Earth and Marine Sciences,1,701.74,0,1,0,0,1,1
Sociology,5,3.39,Sociology,1,757.8,0,0,88.01,0,1,1
Statistics and Operational Research,1,2.53,Anatomy and Physiology,0,576.31,0,0,86.64,0,0,0
Sports-Related Subjects,4,3.04,Sports-Related Subjects,1,720.91,322.74,0,0,6.33,1,1
Engineering and Technology,5,2.01,Law and Legal Studies,0,568.89,0,0,96.48,0,0,0
Physics and Astronomy,1,2.35,Chemistry,1,0,243.54,0,0,8.69,1,0
Communication and Media Studies,8,3.0,Communication and Media Studies,0,759.53,317.56,1,0,0,0,1
Social Policy and Administration,5,3.53,Anthropology,0,700.11,0,0,0,7.97,1,0
Sociology,0,3.65,Sociology,0,756.27,0,1,0,0,1,1
Art History,9,2.81,Politics,1,0,185.31,0,81.25,0,1,0
Life Sciences and Medicine,0,3.81,Life Sciences and Medicine,1,720.14,304.6,1,0,0,1,1
Veterinary Science,1,3.17,Veterinary Science,1,785.73,0,1,0,0,1,1
Geology,0,3.32,Geology,1,771.92,0,1,0,0,1,1
Art and Design,5,3.98,Art and Design,1,743.65,0,1,0,0,0,1
Library and Information Management,10,3.46,Library and Information Management,0,0,303.03,1,0,0,1,0
Marketing,9,3.9,Marketing,0,712.57,309.86,0,0,7.06,1,1
Dentistry,3,3.67,Dentistry,0,0,320.46,0,0,6.53,1,1
Physics and Astronomy,6,2.15,Library and Information Management,0,0,233.06,1,0,0,0,1
Anthropology,6,3.05,Anthropology,0,0,330.22,1,0,0,1,1
Development Studies,0,3.6,Veterinary Science,0,794.1,0,1,0,0,1,1
Art History,4,3.1,Art History,1,0,313.86,1,0,0,1,1
Veterinary Science,1,3.23,Social Sciences and Management,1,798.05,313.04,1,0,0,0,0
Development Studies,5,3.75,Engineering - Electrical and Electronic,1,0,301.66,1,0,0,1,1
Philosophy,10,3.64,Philosophy,1,0,301.42,1,0,0,1,1
Statistics and Operational Research,5,2.05,Engineering - Electrical and Electronic,0,595.68,0,1,0,0,0,1
Social Sciences and Management,6,3.42,Social Sciences and Management,0,0,306.41,1,0,0,1,1
Art and Design,10,2.02,Art History,0,0,278.58,0,0,8.22,0,0
Engineering - Civil and Structural,3,3.29,Engineering - Civil and Structural,0,769.59,311.82,1,0,0,1,1
Development Studies,7,3.25,Development Studies,1,731.45,0,0,0,7.69,1,1
English Language and Literature,6,3.42,English Language and Literature,1,0,318.93,1,0,0,1,1
Business and Management Studies,7,3.64,Business and Management Studies,0,0,321.07,0,0,8.92,0,1
English Language and Literature,4,3.47,English Language and Literature,1,766.1,0,1,0,0,0,1
Communication and Media Studies,9,2.08,Social Sciences and Management,0,0,210.49,1,0,0,0,0
Philosophy,5,3.42,Sociology,1,797.62,0,0,0,6.25,0,1
Engineering and Technology,0,3.2,Engineering and Technology,1,776.91,0,1,0,0,1,1
Art History,7,3.13,Art History,1,755.45,325.92,0,113.78,6.4,1,1
Medicine,8,3.01,Medicine,1,0,318.95,1,0,0,0,0
Statistics and Operational Research,8,3.93,Geophysics,1,723.58,0,1,0,0,1,0
Veterinary Science,4,3.35,Veterinary Science,1,765.7,0,0,111.67,0,1,0
Veterinary Science,0,3.02,Philosophy,1,0,313.53,1,0,0,1,0
Chemistry,2,2.83,Life Sciences and Medicine,0,0,278.56,1,0,0,0,1
Social Policy and Administration,0,2.45,Communication and Media Studies,0,387.82,0,1,0,0,0,0
Psychology,1,3.64,Psychology,1,798.29,0,0,116.78,0,1,1
Business and Management Studies,10,3.86,Business and Management Studies,1,0,319.64,0,0,7.05,0,1
Geography,10,3.29,Archaeology,0,483.07,0,0,0,6.64,0,0
Psychology,10,3.5,Psychology,1,0,321.91,1,0,0,1,1
Linguistics,1,3.84,Linguistics,1,0,336.6,0,0,7.45,1,1
Architecture and Built Environment,10,3.65,English Language and Literature,1,0,316.31,1,0,0,1,0
Sociology,0,3.51,Sociology,1,785.74,0,1,0,0,1,1
Business and Management Studies,2,3.79,Business and Management Studies,1,0,321.83,1,0,0,1,1
Hospitality and Leisure Management,10,3.02,Hospitality and Leisure Management,1,701.77,322.1,0,0,7.67,1,1
Engineering - Mechanical,7,3.08,Engineering - Mechanical,0,0,306.61,0,0,8.78,1,1
Education and Training,5,3.07,Education and Training,1,0,301.21,1,0,0,1,0
Anthropology,9,3.28,Anthropology,1,741.09,0,0,0,8.1,1,1
Geophysics,9,3.96,Geophysics,1,724.69,0,1,0,0,1,1
Environmental Sciences,2,3.41,Environmental Sciences,1,753.24,0,0,0,8.41,1,0
Linguistics,2,3.59,Linguistics,1,769.71,0,0,106.12,0,0,1
Data Science,8,3.13,Data Science,1,746.98,325.82,0,93.1,0,1,0
Communication and Media Studies,4,2.55,Dentistry,0,0,237.15,1,0,0,0,0
Social Sciences and Management,1,3.12,Social Sciences and Management,1,0,308.93,1,0,0,1,1
Law and Legal Studies,8,3.57,Law and Legal Studies,1,735.83,0,1,0,0,1,1
Data Science,2,3.93,Data Science,1,0,311.77,1,0,0,1,0
Chemistry,7,2.07,Social Sciences and Management,0,0,200.91,0,0,6.83,0,0
Accounting and Finance,0,3.87,Agriculture and Forestry,1,0,314.81,0,107.42,0,1,1
Engineering and Technology,4,2.09,Medicine,0,0,213.95,1,0,0,0,1
Classics and Ancient History,7,3.71,Classics and Ancient History,1,0,339.94,0,119.49,0,1,1
Chemistry,1,3.03,Chemistry,1,0,314.78,1,0,0,1,1
Engineering and Technology,3,3.06,Engineering - Civil and Structural,0,0,257.6,1,0,0,0,0
Archaeology,10,3.49,Archaeology,0,0,335.56,1,0,0,0,1
Development Studies,8,3.3,Engineering - Mechanical,0,587.84,0,0,80.84,0,0,0
Mathematics,8,2.48,Philosophy,0,448.97,0,1,0,0,0,0
Engineering - Civil and Structural,2,2.62,Engineering - Electrical and Electronic,0,421.72,223.46,0,109.63,0,0,0
Sports-Related Subjects,3,3.45,Life Sciences and Medicine,1,762.65,0,0,0,8.88,1,0
Sociology,4,3.4,Sociology,0,0,318.55,1,0,0,0,1
Classics and Ancient History,5,3.98,Classics and Ancient History,1,748.05,0,0,115.04,0,1,1
Social Policy and Administration,10,3.99,Social Policy and Administration,1,792.99,306.27,0,86.17,0,1,1
Anatomy and Physiology,7,3.22,Anatomy and Physiology,1,700.17,0,0,88.06,7.77,1,1
Engineering - Chemical,4,3.26,Engineering - Chemical,1,791.17,338.13,1,0,0,1,1
Engineering - Chemical,7,3.79,Engineering - Chemical,1,711.6,327.73,1,0,0,0,0
Architecture and Built Environment,1,3.02,Architecture and Built Environment,1,741.64,0,0,89.08,0,1,0
Anatomy and Physiology,9,3.16,Anatomy and Physiology,1,725.33,0,1,0,0,1,0
Engineering - Chemical,10,2.04,Chemistry,0,608.66,275.18,0,99.34,0,0,0
Engineering - Mechanical,4,3.09,Engineering - Mechanical,1,0,331.66,1,0,0,1,1
Engineering - Mechanical,3,3.33,Engineering - Mechanical,1,0,330.22,1,0,0,1,0
History,4,3.46,History,1,0,316.61,0,92.45,0,0,1
Engineering - Chemical,4,3.6,Engineering - Chemical,1,758.72,331.87,0,0,8.93,0,1
Business and Management Studies,2,2.26,Linguistics,0,531.04,0,0,119.33,0,0,0
Anthropology,5,2.81,Computer Science and Information Systems,1,0,233.64,1,0,0,0,1
Marketing,3,3.57,Marketing,1,0,306.54,1,0,0,1,1
Agriculture and Forestry,8,3.72,Agriculture and Forestry,1,739.87,0,0,0,8.17,1,1
Medicine,5,3.68,Medicine,0,714.71,313.23,0,0,8.73,1,1
Agriculture and Forestry,9,3.61,Agriculture and Forestry,1,0,336.84,1,0,0,0,1
Hospitality and Leisure Management,3,2.05,Biological Sciences,0,0,267.31,1,0,0,0,0
History,6,3.58,History,1,780.77,329.49,1,0,0,1,1
Modern Languages,5,3.18,Modern Languages,1,0,321.33,1,0,0,0,1
Social Sciences and Management,1,2.1,Communication and Media Studies,0,0,194.82,1,0,0,0,0
Biological Sciences,6,2.8,Earth and Marine Sciences,0,0,244.0,0,112.57,6.93,0,0
Archaeology,1,3.11,Psychology,0,789.02,0,1,0,0,0,1
Library and Information Management,5,2.49,Social Policy and Administration,0,0,272.27,1,0,0,0,1
Library and Information Management,9,3.09,Accounting and Finance,1,0,245.28,0,0,8.55,0,1
Natural Sciences,6,3.23,Social Policy and Administration,0,626.81,253.6,1,0,0,0,0
